517,261,469
881,689,530
949,703,531
940,723,532
459,688,530
438,697,531
447,647,531
360,711,531
343,754,531
354,780,530
370,822,530
888,702,530
381,792,530
610,699,530
573,868,540
542,855,537
461,873,540
733,841,541
758,764,540
772,770,538
878,767,539
885,746,540
815,896,539
373,876,531
682,847,538
905,899,528
864,741,530
397,541,510
691,891,523
816,895,525
726,834,526
652,861,525
667,901,527
515,861,524
377,846,524
453,887,524
614,682,524
868,808,530
335,726,525
646,878,528
686,871,532
700,858,529
731,876,531
754,883,530
771,786,527
716,772,529
691,777,530
823,817,533
831,833,530
651,895,532
342,543,507
489,869,539
493,841,538
564,153,456
623,192,454
636,129,458
342,93,454
321,81,456
428,48,457
446,42,456
425,32,453
481,30,455
512,27,455
546,160,458
529,68,456
447,184,458
449,247,455
567,84,455
591,60,446
581,119,446
687,111,446
719,88,444
674,62,447
447,137,447
438,120,445
471,122,454
496,808,541
431,253,464
827,85,462
472,789,540
718,789,539
735,816,540
748,824,552
871,823,549
468,855,550
448,844,550
441,869,550
364,888,554
393,892,554
610,68,465
364,862,554
819,917,553
670,870,513
412,74,465
391,79,464
393,99,463
347,262,465
333,239,463
289,226,464
427,182,461
574,131,463
800,901,555
821,819,507
852,763,507
815,794,509
750,775,517
689,639,521
711,649,515
702,590,519
512,262,483
495,277,481
513,268,482
569,309,481
587,448,480
658,438,478
924,721,516
582,521,483
548,519,482
931,579,482
888,608,480
339,444,482
379,356,480
377,248,482
383,227,482
398,240,483
434,235,482
413,275,481
611,530,482
429,288,482
790,782,519
497,786,515
480,858,526
404,760,526
378,697,524
371,677,525
347,635,522
470,711,524
503,676,524
504,701,524
525,716,525
559,598,523
366,793,518
552,665,524
661,625,525
649,674,521
675,842,517
597,713,518
832,808,519
892,817,520
874,826,518
836,848,519
879,784,515
426,605,516
641,641,525
508,331,482
526,411,483
649,316,484
579,431,470
838,569,471
295,139,469
281,286,470
470,136,471
489,149,468
529,300,472
365,140,471
386,139,471
520,144,470
600,419,471
490,129,470
432,443,485
648,573,485
493,489,491
878,562,510
877,544,509
877,580,508
614,489,511
380,699,509
476,730,509
753,795,509
653,117,470
690,426,473
673,363,470
547,375,470
820,555,478
529,235,474
446,324,473
371,197,476
462,184,476
617,207,475
707,184,477
655,390,476
511,431,475
726,538,475
784,581,476
849,584,474
863,647,475
871,621,476
399,167,477
315,362,475
508,177,475
333,186,477
415,412,474
630,331,469
585,334,472
515,388,470
506,406,471
530,94,448
814,66,436
745,70,435
754,94,432
596,912,554
699,888,555
891,841,523
535,793,514
895,768,515
368,276,462
636,83,442
487,88,443
550,170,443
530,483,506
491,780,540
430,445,506
478,818,539
441,896,540
621,829,548
407,834,548
674,835,547
656,823,548
579,865,548
607,865,548
687,874,557
410,888,558
830,535,514
654,553,521
473,767,539
422,817,531
861,796,502
876,813,503
773,816,501
894,823,504
834,582,505
879,616,507
719,453,506
728,483,508
611,441,505
545,500,516
319,728,535
493,533,516
399,758,509
751,841,526
779,887,527
426,851,525
496,637,528
529,621,527
579,627,528
339,686,523
332,620,528
310,620,527
509,586,524
756,582,484
770,83,457
332,114,458
342,745,536
566,568,490
579,557,490
293,271,471
335,176,464
479,155,450
383,165,449
359,190,448
613,58,428
549,38,428
817,913,543
526,63,428
714,93,435
658,141,434
460,383,478
494,874,523
817,869,532
837,744,531
418,660,534
345,599,523
772,585,490
759,563,489
668,93,428
569,567,518
590,550,518
597,571,518
392,138,459
459,111,444
617,235,447
700,81,440
275,201,456
351,204,455
494,291,454
499,276,454
450,740,521
443,762,522
